,_unit_id,bodygraph,decision,modified bodygraph,new decision
174,1702137149,"The call , which happened as President Barack Obama wrapped up his first presidential visit to Israel , was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps . Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . """,before,"Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . "" The call , which happened as President Barack Obama wrapped up his first presidential visit to Israel , was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps .",after
7,1702137167,"Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara , which was part of a flotilla that sought to break Israel 's blockade of Gaza . An Israeli raid on the ship left nine passengers dead , all of them Turkish or of Turkish descent .",after,"An Israeli raid on the ship left nine passengers dead , all of them Turkish or of Turkish descent . Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara , which was part of a flotilla that sought to break Israel 's blockade of Gaza .",before
149,1702137202,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",after,"Mr. Obama said he would discuss the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader . He said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",vague
64,1702137338,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , while they insisted its commandos used lethal force because activists had attacked them .",after
170,1702137669,""" But more importantly , we are growing in our power . When I first started just six years ago , it was unusual to have a woman managing a bill . """,after,""" When I first started just six years ago , it was unusual to have a woman managing a bill . But now , we are growing in our power . """,before
102,1702136933,"A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announced .",before,"A New York man who would be accused of faking his death later pleaded guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announced .",after
190,1702137485,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",after,"Memorial says inspectors returned to its Moscow offices on Friday , expecting to seize 600 documents including accounts .",before
145,1702137111,"Microsoft is expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",after,"Microsoft is expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies will be selected this year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",before
55,1702137232,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",before,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Starting last year , the law blocked insurers from refusing to sell coverage or setting premiums based on people 's health histories , and reduced their ability to set rates based on age .",after
403,1702137356,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"""The troops had opened fire as soon as they boarded the vessel , which was in international waters at the time"", the activists said .",before 
238,1702137619,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,after,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which later indicated that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,before
171,1702137669,""" But more importantly , we are growing in our power . When I first started just six years ago , it was unusual to have a woman managing a bill . """,after,""" But more importantly , we had grown in our power . When I first started just six years ago , it was common to have a woman managing a bill . """,before
280,1702137226,"Many consumers will be getting more generous plans because of new requirements in the law . The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Many consumers will be getting more generous plans because of new requirements in the law .",before
348,1702137383,"Heavy snow is causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England . Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body .",before,"Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body . Heavy snows started earliet this months are causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England .",after 
33,1702137713,"This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year , all four of the female Senate Republicans voted with Senate Democrats to reauthorize the Violence Against Women Act aftersplitting with their party .",after
23,1702136998,"Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said . State police arrested both men in early August on charges of insurance fraud , conspiracy and filing a false report .",before,"State police arrested both men in early August on charges of insurance fraud , conspiracy and filing a false report . Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said .",after
283,1702137522,"So severe are China 's environmental woes , especially the noxious air , that top government officials have been forced to openly acknowledge them . Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",before,"Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself . So severe are China 's environmental woes , especially the noxious air , that top government officials have been forced to openly acknowledge them .",after
336,1702137342,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",after,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but ordered its commandos to use lethal force because activists were expected to attack them .",before 
73,1702137495,"A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it . Memorial director Arseny Roginsky , quoted by the Russian news website Vesti , said it was "" a complete check on everything concerned with our sources of funding "" .",after,"A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it . Memorial director Arseny Roginsky , quoted by the Russian news website Vesti , said it wouldbe "" a complete check on everything concerned with our sources of funding "" .",before
329,1702137710,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , are planning to lead the repeal in the Senate of "" do n't ask , do n't tell "" , allowing gay men and women to serve openly in the military . In 2010 , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before 
267,1702137368,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"The incident is expected to provoke an international outcry and lead to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",after
255,1702137151,"The call , which happened as President Barack Obama wrapped up his first presidential visit to Israel , was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps . Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . """,before,"Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . "" The call , which happened as President Barack Obama wrapped up his first presidential visit to Israel , was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps .",after
361,1702137599,So when the president of Cyprus admitted this week that his country did not have the money to backstop the 30 billion euros of guaranteed bank deposits - a figure greater than the Cypriot economy itself - a crucial bond of trust between a government and its citizens was snapped .,before,"A crucial bond of trust between a government and its citizens was snapped , when the president of Cyprus admitted this week that his country did not have the money to backstop the 30 billion euros of guaranteed bank deposits - a figure greater than the Cypriot economy itself .",after 
69,1702137465,"While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems . He eventually fled the country in 2008 .",before,"Bob Dudley eventually fled the country in 2008 . While serving as head of TNK-BP , he - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems .",after
116,1702137161,"Mr. Erdogan accepted the Israeli apology , the prime minister 's office said .",before,"The prime minister 's office said , Mr. Erdogan accepted the Israeli apology .",after
405,1702137134,"What has startled the medical community even more is what Leon did this month in Beaumont , Texas . He won the Gusher Marathon , finishing in 3:07:35 .",after,"When Leon won the Gusher Marathon did this month in Beaumont , Texas, finishing in 3:07:35, startled the medical community even more .",before
270,1702137481,"In the worst repressions of the Soviet period the label "" foreign agents "" was used to denounce dissidents - or simply political rivals of Joseph Stalin - and could lead to execution . Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",before,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday . > In the worst repressions of the Soviet period the label "" foreign agents "" was used to denounce dissidents - or simply political rivals of Joseph Stalin - and could lead to execution .",after
410,1702137375,"Heavy snow is causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England .",after,Heavy rainfall bringing flooding to the south-west of England and the snow is causing disruption to transport across the UK .,before 
346,1702136896,"The flu season is winding down , and it has killed 105 children so far - about the average toll . The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",before,"The overall number of flu casulties are winding down. Over the past decade, it has killed 105 children so far - less than the average toll in the century . This year however, it the season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",before 
158,1702136979,"The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"The same day Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",vague
142,1702137349,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before
12,1702136987,"The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death . Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said .",after,"Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before
317,1702137367,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone the day before the incident .",after 
263,1702137482,"In the worst repressions of the Soviet period the label "" foreign agents "" was used to denounce dissidents - or simply political rivals of Joseph Stalin - and could lead to execution . Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",before,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday . In the worst repressions of the Soviet period the label "" foreign agents "" was used to denounce dissidents - or simply political rivals of Joseph Stalin - and could lead to execution .",after
399,1702137451,"In 2011 , the AAR consortium attempted to block a drilling joint venture in the Arctic between BP and Rosneft through the courts and the plan was eventually dropped . As well as internal wrangles , BP employees at TNK-BP have fallen foul of Russian authorities .",before,"In 2011 , the AAR consortium attempted to block a drilling joint venture in the Arctic between BP and Rosneft through the courts and the plan was eventually dropped . This is what many BP employees at TNK-BP have expected .",after 
52,1702136970,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day after Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before
243,1702136966,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities had learned the missing man was in South Carolina three days before he was pulled over for speeding . In addition, the day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before
86,1702137233,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",before,"Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age . The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after
49,1702137126,""" No one knows what technology will be available in five years , "" said Allan Friedman , Duke University Hospital neurosurgeon in chief , who in 2011 removed as much of Leon 's brain tumor as possible .",after,""" No one knows what technology will be available in five years , "" Allan Friedman , Duke University Hospital neurosurgeon in chief , said before he removed as much of Leon 's brain tumor as possible .",before
331,1702137056,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter .,after,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been previously expected to shutter .,after 
422,1702137199,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",after,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. which led to the apology . During the two leaders' conversation, Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement .",before 
78,1702137227,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after,"The effects of the law vary widely , and then, insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",before
334,1702137348,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",after 
395,1702137357,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"""The troops had opened fire as soon as they boarded the vessel , which was in international waters at the time "", the activists said .",before 
297,1702137369,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . After departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before 
54,1702137232,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",before,"Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age . The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after
132,1702137319,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . In the past , he has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",after,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . In the future , he would always give two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",before
264,1702137368,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone . That was because the incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel .",after
60,1702137484,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",after,"Having already seized 600 documents including accounts on Thursday , inspectors returned to its Moscow offices on Friday, memorial says .",before
289,1702137545,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up . Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",after,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up . Soon afterward , deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",before
97,1702137431,BP agreed to sell back its 50 % stake in TNK-BP to Russia 's Rosneft in October in return for $17.1bn in cash and shares . It invested in TNK-BP in 2003 .,after,BP agreed to sell back its 50 % stake in TNK-BP to Russia 's Rosneft in October in return for $17.1bn in cash and shares . It will invest in TNK-BP in the future .,before
50,1702137443,"BP expects the share buyback programme could take between 12 and 18 months to complete . "" In 2003 BP invested around $8bn in cash , shares and assets in the formation of TNK-BP , "" the oil giant said .",before,""" In 2003 BP invested around $8bn in cash , shares and assets in the formation of TNK-BP , "" the oil giant said . BP expects the share buyback programme could take between 12 and 18 months to complete .",after
0,1702137528,"Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself . Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up .",after,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up . Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",before
315,1702137659,"One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who presides over the agriculture committee .",after,"One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who was recently elected to preside over the agriculture committee .",before 
115,1702137161,"Mr. Erdogan accepted the Israeli apology , the prime minister 's office said .",before,"Mr. Erdogan would accept the Israeli apology , the prime minister 's office said .",after
101,1702137234,"Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",before,"The law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age, starting next year .",after
211,1702137358,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"The activists said as soon as they boarded the vessel the troops had opened fire , which was in international waters at the time .",before
191,1702137485,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",after,Memorial says inspectors returned to its Moscow offices and seized 600 documents including accounts .,vague
321,1702137616,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler . Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,before,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler . Mr. Sarkozy 's lawyer , Thierry Herzog , accepted the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,before 
279,1702137392,"Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body . Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored .",before,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored . Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body .",after
76,1702137227,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after,"The effects of the law have varied widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",before
313,1702137031,"Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing . The son 's case is still pending , the district attorney said .",before,"Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing . The son 's case was decided even before these evidences, the district attorney said .",after 
302,1702137353,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",before,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",after 
66,1702137073,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .,before,"Just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla , President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup .",after
36,1702137509,"More than 16,000 dead pigs have been found floating in rivers that provide drinking water to Shanghai . A haze akin to volcanic fumes cloaked the capital , causing convulsive coughing and obscuring the portrait of Mao Zedong on the gate to the Forbidden City .",after,"A haze akin to volcanic fumes cloaked the capital , causing convulsive coughing and obscuring the portrait of Mao Zedong on the gate to the Forbidden City . More than 16,000 dead pigs have been found floating in rivers that provide drinking water to Shanghai .",before
144,1702137111,"Microsoft is expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",after,"Microsoft has long been expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",before
105,1702137704,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" , allowing gay men and women to serve openly in the military .",before 
83,1702137078,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .,after,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu asked Turkey to release nine activists on a Turkish vessel in a Gaza-bound flotilla .,before
199,1702137097,"A statement from Netanyahu 's office said the apology included an offer of compensation . However , there was confusion later when the Israeli government dropped a reference in its original statement to normalized relations between the countries with a return of ambassadors .",before,"However , there was confusion later when the Israeli government dropped a reference in its original statement to normalized relations between the countries with a return of ambassadors . A statement from Netanyahu 's office said the apology included an offer of compensation .",vague
41,1702137524,"Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",after,"Fu Ying , the spokeswoman for the National People 's Congress , said she would check for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",before
322,1702137711,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "", allowing gay men and women to serve openly in the military, starting next year . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",after 
195,1702137327,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade .",after
351,1702137521,"So severe are China 's environmental woes , especially the noxious air , that top government officials have been forced to openly acknowledge them . Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",before,"Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself . Fu Ying is not the only person to make such claims. So severe are China 's environmental woes , especially the noxious air , that top government officials have been forced to openly acknowledge them .",after 
166,1702136948,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth . Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",before,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned Raymond Roth was in South Carolina , where he had been pulled over for speeding . Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth .",after
230,1702137374,"Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",after,"Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan would spoken by telephone .",before
204,1702137403,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored .",before,"Power is starting to be restored , but over 200,000 Belfast customers were affected by the blackout .",after
